HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,lateralis,Silvereye,365,365,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,12.7,0.151687,13,958,wild,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,alba,Great egret,730,730,23,143.759259,3,2,386.756225,11498.17283,54703.19159,873.5,0.151687,22.8,576,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,Grey heron,730,730,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1443,0.149,37.5,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,cocoi,Cocoi heron,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1937.7,0.151687,24.4,575,captivity,tiny,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,goliath,Goliath heron,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,4468,0.151687,22.9,575,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great blue heron,669,669,28,143.759259,4,2,386.756225,50,54703.19159,1870,0.156,24.5,427,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,purpurea,Purple heron,730,730,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1065.5,0.236,25.4,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,American bittern,365,365,34,143.759259,4,1.463212,386.756225,11498.17283,54703.19159,706,0.151687,8.3,576,wild,small,acceptable,0.18266,179.4495,2.7412,600,308.592247,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,stellaris,Bittern,730,730,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1324.5,0.151687,11.3,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,Cattle egret,730,730,22,143.759259,3,1,386.756225,19.1,54703.19159,390,0.22,23,526.0008,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,virescens,Green heron,730,730,20,143.759259,4,1,386.756225,16,54703.19159,175,0.208,11.6,576,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,Little blue heron,365,365,23,143.759259,4,1,386.756225,11498.17283,54703.19159,339.5,0.258,13.9,576,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,garzetta,Little egret,365,365,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,312,0.248,22.3,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,rufescens,Reddish egret,1461,1461,83.225352,143.759259,3,1,386.756225,11498.17283,54703.19159,614,0.151687,22,972,wild,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,thula,Snowy egret,365,365,18,143.759259,4,1,386.756225,20,54703.19159,314,0.151687,22.8,577,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,tricolor,Tricolored heron,669,669,21,143.759259,4,1,386.756225,11498.17283,54703.19159,309.9,0.151687,17.7,576,wild,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,minutus,Little bittern,730,730,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,101,0.151687,6.9,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Black-crowned night heron,365,365,25,143.759259,4,1,386.756225,24.2,54703.19159,800,0.151687,21.1,526.0008,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,rex,Shoebill,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,5984,0.151687,35.7,575,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,crispus,Dalmatian pelican,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,9550,0.151687,35.3,575,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,American white pelican,1095,1095,36,143.759259,2,1,386.756225,110,54703.19159,6129,0.151687,54,576,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,Brown pelican,365,730,29,143.759259,3,1,386.756225,63.5,54703.19159,3115.8,0.112,43,445,unknown,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus,Great white pelican,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,9520,0.151687,51,575,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Bostrychia,carunculata,Wattled ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,12,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Bostrychia,hagedash,Hadada ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1238,0.151687,16,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Bostrychia,rara,Spot-breasted ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,25.213145,526.0008,unknown,small,low,0.18266,179.4495,11.830891,13187.90022,308.592247,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,White ibis,730,730,22,143.759259,3,1,386.756225,36.3,54703.19159,940,0.13,27.6,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,ruber,Scarlet ibis,1010.475686,916.159624,23,143.759259,2,1.463212,386.756225,11498.17283,54703.19159,615,0.151687,33.2,649,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Geronticus,calvus,Bald ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,15.3,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Geronticus,eremita,Northern bald ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1202,0.237,32.9,649,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Nipponia,nippon,Crested ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1900,0.151687,25.8,649,captivity,tiny,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,infuscatus,Whispering ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,559,0.151687,20,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,ajaja,Roseate spoonbill,1095,1095,23,143.759259,3,1,386.756225,50,54703.19159,1036.97,0.151687,28,526.0008,unknown,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,alba,African spoonbill,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1521,0.151687,17.9,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,flavipes,Yellow-billed spoonbill,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1747.5,0.151687,28.6,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,leucorodia,Eurasian spoonbill,1095,1095,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1868,0.174,30.1,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,minor,Black-faced spoonbill,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1228,0.151687,15,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,chihi,White-faced ibis,730,730,21,143.759259,3.5,1,386.756225,29.35,54703.19159,487.5,0.151687,20.4,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,Glossy ibis,1095,1095,21,143.759259,3,1,386.756225,166,54703.19159,431.2,0.151687,26.8,649,captivity,large,high,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,ridgwayi,Puna ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,584,0.151687,18,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Pseudibis,papillosa,Black ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,30,649,captivity,tiny,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caerulescens,Plumbeous ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1500,0.151687,25.213145,526.0008,unknown,small,low,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caudatus,Buff-necked ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1726,0.151687,22,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,melanopis,Black-faced ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,34.5,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,aethiopicus,Sacred ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1530,0.151687,37,649,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,melanocephalus,Black-headed ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,28.2,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,molucca,Australian ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1806,0.151687,33.2,649,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,Straw-necked ibis,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1351.5,0.151687,39.4,649,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,aethereus,Red-billed tropicbird,1010.475686,916.159624,44,143.759259,1,1.463212,386.756225,11498.17283,54703.19159,750,0.151687,17.6,427,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,rubricauda,Red-tailed tropicbird,274,274,45,143.759259,1,1,386.756225,54,54703.19159,593.2,0.151687,32.7,427,wild,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias,minor,Lesser flamingo,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1500,0.151687,41,991,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,Chilean flamingo,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,2277,0.151687,36.7,600,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,roseus,Greater flamingo,1825,1825,30,143.759259,1,1.463212,386.756225,11498.17283,54703.19159,2500,0.151687,44,526.0008,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,ruber,American flamingo,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,3065.8,0.151687,25.213145,526.0008,unknown,medium,low,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Northern flicker,365,365,11,143.759259,4,1,386.756225,5.48,54703.19159,120,0.151687,12.5,579,wild,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,leucotos,White-backed woodpecker,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,117,0.323,15.9,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,major,Great spotted woodpecker,365,365,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,75.1,0.402,12.7,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,medius,Middle spotted woodpecker,365,365,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,59,0.151687,8,729,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,minor,Lesser spotted woodpecker,365,365,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,19.8,0.151687,9.8,450,wild,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
