HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
478,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,stagnatilis,Marsh sandpiper,0,0,0,0,0,0,0,0,0,77.5,0,7.1,450,wild,medium,acceptable,0,0,0,0,0,324450820
479,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,totanus,Common redshank,365,365,0,0,0,0,0,0,0,149,0.103,26.9,450,wild,medium,acceptable,0,0,0,0,0,450729732
480,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus,cinereus,Terek sandpiper,0,0,0,0,0,0,0,0,0,78.8,0,16,450,wild,medium,acceptable,0,0,0,0,0,450820
481,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,antarcticus,Brown skua,0,0,0,0,0,0,0,0,0,1687,0,28.8,427,wild,medium,acceptable,0,0,0,0,0,427820
482,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Long-tailed jaeger,0,0,23,0,2,0,0,0,0,298,0.331,14,427,wild,medium,acceptable,0,0,0,0,0,427444732
483,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,maccormicki,South polar skua,0,0,0,0,0,0,0,0,0,1349,0,23.5,427,wild,medium,acceptable,0,0,0,0,0,427820
484,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,Parasidic jaeger,1200,1200,26,0,2,0,0,28.5,0,445.5,0,31.1,450,wild,medium,acceptable,0,0,0,0,0,4.44E+11
485,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,skua,Great skua,2190,2190,0,0,0,0,0,0,0,1340,0.156,34.5,450,wild,medium,acceptable,0,0,0,0,0,4.51E+15
486,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Anastomus,lamelligerus,African openbill,0,0,0,0,0,0,0,0,0,1081,0,0,0,unknown,small,low,0,0,0,0,0,668820
487,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Anastomus,oscitans,Asian openbill,0,0,0,0,0,0,0,0,0,0,0,18,668,captivity,small,acceptable,0,0,0,0,0,668
488,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,abdimii,Abdim's stork,0,0,0,0,0,0,0,0,0,1398,0,21.6,668,captivity,medium,acceptable,0,0,0,0,0,668820
489,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,boyciana,Oriental white stork,0,0,0,0,0,0,0,0,0,4850.5,0,48.1,668,captivity,medium,acceptable,0,0,0,0,0,668820
490,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,European white stork,1460,1460,33,0,4,0,0,0,0,3350,0.17,39,450,wild,medium,acceptable,0,0,0,0,0,4.38E+11
491,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,episcopus,Woolly-necked stork,0,0,0,0,0,0,0,0,0,2061,0,30.2,668,captivity,medium,acceptable,0,0,0,0,0,668820
492,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,maguari,Maguari stork,0,0,0,0,0,0,0,0,0,4000,0.164,20.4,668,captivity,medium,acceptable,0,0,0,0,0,668732820
493,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,nigra,Black stork,0,0,0,0,0,0,0,0,0,2926,0,31.3,668,captivity,medium,acceptable,0,0,0,0,0,668820
494,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ephippiorhynchus,asiaticus,Black-necked stork,0,0,0,0,0,0,0,0,0,4100,0,34,668,captivity,small,acceptable,0,0,0,0,0,668820
495,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ephippiorhynchus,senegalensis,Saddle-billed stork,0,0,0,0,0,0,0,0,0,6162.5,0,30.2,668,captivity,medium,acceptable,0,0,0,0,0,668820
496,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Jabiru,mycteria,Jabiru,0,0,0,0,0,0,0,0,0,5470,0,27.4,668,captivity,small,acceptable,0,0,0,0,0,668
497,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumeniferus,Marabou,1460,1460,30,0,2,0,0,0,0,8000,0.073,44.7,668,captivity,large,acceptable,0,0,0,0,0,438668732
498,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,dubius,Greater adjutant,0,0,0,0,0,0,0,0,0,0,0,43,668,captivity,small,acceptable,0,0,0,0,0,668
499,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,javanicus,Lesser adjutant,0,0,0,0,0,0,0,0,0,5710,0,31.1,668,captivity,medium,acceptable,0,0,0,0,0,668
500,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,Wood stork,1460,1460,30,0,3,1,0,62,0,2500,0.125,27,668,captivity,small,acceptable,0,0,0,0,0,4.44E+11
501,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,cinerea,Milky stork,0,0,0,0,0,0,0,0,0,0,0,12.4,668,captivity,medium,questionable,0,0,0,0,0,668
502,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,ibis,Yellow-billed stork,0,0,0,0,0,0,0,0,0,2166.5,0,19.1,668,captivity,medium,acceptable,0,0,0,0,0,668820
503,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,leucocephala,Painted stork,0,0,0,0,0,0,0,0,0,3180,0,28.6,668,captivity,medium,acceptable,0,0,0,0,0,668820
504,Animalia,Chordata,Aves,Coliiformes,Coliidae,Colius,striatus,Speckled mousebird,0,0,14,0,0,0,0,0,0,51,0,11.5,986,captivity,large,acceptable,0,0,0,0,0,986
505,Animalia,Chordata,Aves,Columbiformes,Columbidae,Caloenas,nicobarica,Nicobar pigeon,0,0,17,0,1,0,0,0,0,519,0,20.5,986,captivity,large,acceptable,0,0,0,0,0,986
506,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,livia,Rock dove,140,140,18,0,2,3,0,15.2,0,358.7,0.28,35,1,captivity,large,high,0,0,0,0,0,1.62E+29
507,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,oenas,Stock dove and stock pigeon,365,365,0,0,0,0,0,0,0,291,0.32,12.6,450,wild,medium,acceptable,0,0,0,0,0,4.51E+11
508,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,palumbus,Common wood-pigeon,365,365,0,0,0,0,0,0,0,490,0.338,17.7,450,wild,medium,acceptable,0,0,0,0,0,4.51E+11
509,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,inca,Inca dove,0,0,14,0,2,4,0,0,0,50,0,13.3,575,captivity,small,acceptable,0,0,0,0,0,4.44E+11
510,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,passerina,Common ground dove,75,75,13,0,2,2,0,5,0,35,0,7.2,577,wild,medium,acceptable,0,0,0,0,0,444445577
511,Animalia,Chordata,Aves,Columbiformes,Columbidae,Geopelia,striata,Zebra dove,0,0,0,0,0,0,0,0,0,56.6,0,14,575,captivity,medium,acceptable,0,0,0,0,0,575820
512,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,White-tipped dove,0,0,14,0,2,1,0,0,0,147.5,0,8.6,579,wild,small,acceptable,0,0,0.8884,131,0,4.44E+14
513,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leucosarcia,melanoleuca,Wonga pigeon,0,0,0,0,0,0,0,0,0,429,0,16.3,575,captivity,tiny,acceptable,0,0,1.695,445,0,435575820
514,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,fasciata,Band-tailed pigeon,365,365,19,0,1,0,0,0,0,315,0,18.5,577,wild,large,acceptable,0,0,0,0,0,444577818
515,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,leucocephala,White-crowned pigeon,365,365,0,0,1,0,0,0,0,247,0,14.4,577,wild,medium,acceptable,0,0,0,0,0,444577818
516,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,chinensis,Spotted dove,0,0,15,0,2,0,0,6.4,0,159,0,9.8,579,wild,medium,acceptable,0,0,0,0,0,444445579
517,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,decaocto,Eurasian collared-dove,365,365,15,0,2,4,0,0,0,157.4,0.333,17.9,575,captivity,medium,acceptable,0,0,0,0,0,6.14E+16
518,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,risoria,Ring dove,0,0,0,0,0,0,0,0,0,0,0,12,0,unknown,medium,acceptable,0,0,0,0,0,4.09E+14
519,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,turtur,European turtle-dove,365,365,0,0,0,0,0,0,0,132,0,13.2,450,wild,medium,acceptable,0,0,1.138,154,0,4.51E+11
520,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,asiatica,White-winged dove,365,365,13,0,2,0,0,7.7,0,140,0,25,0,unknown,medium,acceptable,0,0,0,0,0,444445
521,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,aurita,Zenaida dove,0,0,0,0,0,0,0,0,0,156,0,0,0,unknown,tiny,low,0,0,0,0,0,427820
522,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,macroura,Mourning dove,90,80,14,0,2,5,0,5,0,119,0,31.3,427,wild,large,acceptable,0,0,0.736,123,0,4.27E+14
523,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,atthis,Common kingfisher,365,365,0,0,0,0,0,0,0,31.4,0,21,450,wild,medium,acceptable,0,0,0.378,34.3,0,4.51E+11
524,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Ceryle,rudis,Pied kingfisher,0,0,0,0,0,0,0,0,0,84.4,0,3.9,450,wild,medium,acceptable,0,0,0,0,0,450820
525,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,americana,Green kingfisher,0,0,0,0,3,0,0,0,0,34,0,5,427,wild,medium,acceptable,0,0,0,0,0,427445
526,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,novaeguineae,Laughing kookaburra,365,365,25,0,0,0,0,0,0,305,0,26.8,986,captivity,large,acceptable,0,0,0,0,0,986
527,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,smyrnensis,White-throated kingfisher,0,0,0,0,0,0,0,0,0,91.4,0,5.5,450,wild,medium,acceptable,0,0,0,0,0,450820
528,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,benghalensis,Indian roller,0,0,0,0,0,0,0,0,0,158,0,8.9,575,captivity,small,acceptable,0,0,0,0,0,575820
529,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,caudatus,Lilac-breasted roller,0,0,21,0,0,0,0,0,0,108,0,13.7,986,captivity,medium,acceptable,0,0,0,0,0,986
530,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Coracias,garrulus,European roller,0,0,0,0,0,0,0,0,0,146,0,9.2,450,wild,medium,acceptable,0,0,0,0,0,450820
531,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,apiaster,European bee-eater,365,365,0,0,0,0,0,0,0,56.6,0,5.9,450,wild,medium,acceptable,0,0,0,0,0,450729820
532,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,bullockoides,White-fronted bee-eater,0,0,0,0,0,0,0,0,0,34.8,0,7,575,captivity,medium,acceptable,0,0,0,0,0,575820
533,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,mexicanus,Russet-crowned motmot,0,0,0,0,0,0,0,0,0,75.7,0,10.4,575,captivity,tiny,acceptable,0,0,0,0,0,575820
534,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,momota,Blue-crowned motmot,0,0,21,0,0,0,0,0,0,133,0,20.3,986,captivity,medium,acceptable,0,0,0,0,0,986
535,Animalia,Chordata,Aves,Coraciiformes,Todidae,Todus,mexicanus,Puerto Rican tody,0,0,0,0,0,0,0,0,0,5.9,0,12.6,427,wild,medium,acceptable,0,0,0,0,0,427820
536,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,Yellow-billed cuckoo,365,365,14,0,3,1,0,8.5,0,57.8,0,5,579,wild,small,acceptable,0,0,0,0,0,444445579
537,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Black-billed cuckoo,365,365,14,0,2.5,1,0,7.4,0,37.5,0,5,579,wild,small,acceptable,0,0,0,0,0,444445579
538,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,canorus,Common cuckoo and Eurasian cuckoo,365,365,0,0,0,0,0,0,0,111.5,0,12.9,450,wild,medium,acceptable,0,0,0.838,111.6,0,4.51E+11
539,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,Greater roadrunner,365,365,20,0,4,2,0,14,0,376,0.109,9,445,captivity,medium,acceptable,0,0,1.4661,284.7,0,4.35E+14
540,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Saurothera,vieilloti,Puerto Rican lizard cuckoo,0,0,0,0,0,0,0,0,0,81.9,0,7.6,427,wild,medium,acceptable,0,0,0,0,0,427820
541,Animalia,Chordata,Aves,Eurypygiformes,Eurypygidae,Eurypyga,helias,Sunbittern,0,0,27,0,2,0,0,0,0,210,0,15,448,captivity,medium,acceptable,0,0,0,0,0,448820
542,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,cheriway,Crested caracara,0,0,32,0,2,2,0,51.17,0,1031,0,25.8,575,captivity,small,acceptable,0,0,0,0,0,445575
543,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,plancus,Southern caracara,0,0,0,0,0,0,0,0,0,1348,0,37.6,575,captivity,small,acceptable,0,0,0,0,0,427575820
544,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,berigora,Brown falcon,0,0,0,0,0,0,0,0,0,593.5,0,24,972,captivity,small,acceptable,0,0,0,0,0,820972
545,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,cherrug,Saker falcon,0,0,0,0,0,0,0,0,0,966,0,15.9,450,wild,medium,questionable,0,0,0,0,0,4508201146
546,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,columbarius,Merlin,365,365,30,0,5,1,0,13,0,195,0.241,12.7,450,wild,medium,acceptable,0,0,0,0,0,4.44E+17
547,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,eleonorae,Eleonora's falcon,0,0,0,0,0,0,0,0,0,390,0,11.2,450,wild,medium,acceptable,0,0,0,0,0,450820
548,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,femoralis,Aplomado falcon,0,0,32,0,2.64,0,0,17.5,0,342.5,0,12,445,wild,medium,acceptable,0,0,0,0,0,445
549,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,mexicanus,Prairie falcon,365,365,31,0,4,1,0,30.6,0,858,0,17.2,427,wild,medium,acceptable,0.25,0,0,0,0,4.27E+11
550,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,naumanni,Lesser kestrel,365,365,0,0,0,0,0,0,0,152.5,0,10.9,450,wild,medium,acceptable,0,0,0,0,0,450729820
551,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,peregrinus,Peregrine falcon,365,365,30,0,3,1,0,37.5,0,840,0.199,25,0,unknown,medium,acceptable,0.2,0,0,0,0,4.37E+14
552,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,punctatus,Mauritius kestrel,0,0,0,0,0,0,0,0,0,169.5,0,10,1146,unknown,small,questionable,0,0,0,0,0,8201146
553,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,rupicoloides,Greater kestrel,0,0,0,0,0,0,0,0,0,261,0,0,0,unknown,tiny,low,0,0,0,0,0,1820
554,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,rusticolus,Gyrfalcon,730,730,35,0,3.72,1,0,52.08,0,1406.5,0,13.5,427,wild,medium,acceptable,0,0,0,0,0,427445
555,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,sparverius,American kestrel,365,365,29,0,4.6,2,0,9,0,117,0.285,17,444,captivity,medium,acceptable,0,0,0,0,0,6.12E+16
556,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,subbuteo,Eurasian hobby,365,365,0,0,0,0,0,0,0,209.5,0.264,14.9,553,wild,medium,acceptable,0,0,1.3014,208,0,5.11E+14
557,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,tinnunculus,Common kestrel,365,365,0,0,0,0,0,0,0,184,0.294,23.8,450,wild,large,acceptable,0,0,0,0,0,4.51E+15
558,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,vespertinus,Red-footed falcon,0,0,0,0,0,0,0,0,0,152.5,0,13.2,450,wild,medium,acceptable,0,0,0,0,0,450820972
559,Animalia,Chordata,Aves,Galliformes,Cracidae,Crax,globulosa,Wattled curassow,0,0,0,0,0,0,0,0,0,2500,0,20,1,captivity,small,acceptable,0,0,0,0,0,1820
560,Animalia,Chordata,Aves,Galliformes,Cracidae,Crax,rubra,Great curassow,0,0,0,0,0,0,0,0,0,4133,0,24,1,captivity,medium,acceptable,0,0,0,0,0,1820
561,Animalia,Chordata,Aves,Galliformes,Cracidae,Mitu,tuberosum,Razor-billed curassow,0,0,0,0,0,0,0,0,0,2813,0,23,1,captivity,small,acceptable,0,0,0,0,0,1820
562,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,vetula,Plain chachalaca,365,365,23,0,3,2,0,0,0,495.5,0,8.8,427,wild,medium,acceptable,0,0,0,0,0,427444445
563,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Alectura,lathami,Brush turkey,0,0,0,0,0,0,0,0,0,2340,0.03,12.5,2,unknown,medium,acceptable,0.05,3.3,0,0,0,2732820
564,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Macrocephalon,maleo,Maleo,0,0,0,0,0,0,0,0,0,1564,0,23,1,captivity,medium,acceptable,0,0,0,0,0,1820
565,Animalia,Chordata,Aves,Galliformes,Numididae,Numida,meleagris,Helmeted guineafowl,0,0,27,0,9,0,0,0,0,1299,0,0,0,unknown,medium,low,0,0,0,0,0,820
566,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,californica,California quail,274,274,22,0,14,1,0,6,0,138,0,9.6,0,unknown,medium,acceptable,0,0,0,0,0,444445
567,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Gambel's quail,365,365,22,0,11,1,0,0,0,166,0,7.4,576,wild,medium,acceptable,0,0,0.755,126.1,0,4.35E+14
568,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus,virginianus,Northern bobwhite,365,365,23,0,15,2,0,0,0,194,0,6.4,445,wild,medium,acceptable,0,0,0,0,0,437444445
569,Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,rufa,Red-legged partridge,0,0,0,0,0,0,0,0,0,528,0,6.2,575,captivity,medium,acceptable,0,0,0,0,0,575820
570,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa,umbellus,Ruffed grouse,120,120,24,0,11,1,0,12,0,532,0.068,11,0,unknown,medium,acceptable,0.55,0,2.3894,644,0,4.35E+17
571,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,urophasianus,Sage grouse,365,365,26,0,7,1,0,30.5,0,1929.5,0,7,0,unknown,medium,acceptable,0,0,0,0,0,444445
572,Animalia,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,amherstiae,Lady Amherst's pheasant,0,0,24,0,0,0,0,0,0,738,0,19.6,986,captivity,medium,acceptable,0,0,0,0,0,986
573,Animalia,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,pictus,Golden pheasant,365,365,22,0,10,0,0,0,0,625,0,13.4,986,captivity,large,questionable,0,0,0,0,0,986987
574,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,chinensis,King quail,0,0,0,0,0,0,0,0,0,45,0,5,952,unknown,medium,questionable,0,0,0,0,0,952
575,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,coturnix,Common quail,365,365,0,0,0,0,0,0,0,96.5,0.102,14.6,450,wild,medium,acceptable,0,0,0.891,97,0,4.51E+14
576,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,japonica,Japanese quail,63,52,17,0,0,0,0,0,0,115,0.111,6,0,unknown,medium,acceptable,0.07,1.2,0,0,0,2.29E+64
577,Animalia,Chordata,Aves,Galliformes,Phasianidae,Dendragapus,obscurus,Blue grouse,365,365,26,0,8,1,0,22.6,0,1058.5,0.078,14,1,wild,medium,acceptable,0,0,4.957,1131,0,1.44E+15
578,Animalia,Chordata,Aves,Galliformes,Phasianidae,Falcipennis,canadensis,Spruce grouse,365,365,20,0,5,0,0,15,0,417.3,0.08,13,1,wild,medium,acceptable,0,0,0,0,0,1440445732
579,Animalia,Chordata,Aves,Galliformes,Phasianidae,Francolinus,francolinus,Black francolin,0,0,19,0,7,2,0,12.5,0,453,0,7,445,wild,medium,acceptable,0,0,0,0,0,445
580,Animalia,Chordata,Aves,Galliformes,Phasianidae,Francolinus,pondicerianus,Grey francolin,0,0,18,0,7.5,2,0,0,0,334,0,8,445,wild,medium,acceptable,0,0,0,0,0,445
581,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,gallus,Red junglefowl,0,0,0,0,0,0,0,0,0,779.8,0.037,30,1,captivity,large,acceptable,0,0,6.005,2710,0,1.80E+32
582,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,lagopus,Willow ptarmigan,365,365,21,0,6,1,0,14.72,0,595.875,0.101,9,450,wild,small,acceptable,0,0,2.872,567,0,4.44E+17
583,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,leucura,White-tailed ptarmigan,0,365,23,0,6,1,0,12.9,0,326,0,15,1,wild,small,acceptable,0,0,0,0,0,1444445
584,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,muta,Rock ptarmigan,0,0,0,0,0,0,0,0,0,535.5,0,0,0,unknown,small,low,0,0,0,0,0,450820
585,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lyrurus,tetrix,Eurasian black grouse,365,365,0,0,0,0,0,0,0,1079,0.068,12.2,450,wild,medium,acceptable,0,0,0,0,0,4.51E+12
586,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Wild turkey,304,365,28,0,11,1,0,47,0,6050,0.023,13,1,wild,medium,acceptable,0,0,0,0,0,1.29E+18
587,Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,cristatus,Indian peafowl,730,730,29,0,5,0,0,120,0,4200,0.03,23.2,575,captivity,large,acceptable,0.06,2.2,0,0,0,2.44E+12
588,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,perdix,Grey partridge,365,365,24,0,16,0,0,10,0,492,0.092,5.2,1,wild,medium,acceptable,0,0,2.1783,501,0,1.43E+15
589,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,colchicus,Common pheasant,240,240,24,0,11,1,0,18.5,0,1094.8,0.043,27,575,captivity,large,high,0,0,0,0,0,6.14E+16
590,Animalia,Chordata,Aves,Galliformes,Phasianidae,Polyplectron,napoleonis,Palawan peacock-pheasant,730,365,19,0,2,0,0,0,0,550,0,15,448,unknown,medium,acceptable,0,0,0,0,0,448
591,Animalia,Chordata,Aves,Galliformes,Phasianidae,Syrmaticus,reevesii,Reeves's pheasant,0,0,0,0,0,0,0,0,0,1239,0,9.2,2,unknown,medium,acceptable,0.02,1.6,0,0,0,2820
592,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrao,urogallus,Western capercaillie,1095,1095,0,0,0,0,0,0,0,2950,0.066,18,1,captivity,medium,acceptable,0,0,11.816,4010,0,1.51E+12
593,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrastes,bonasia,Hazel grouse,0,0,0,0,0,0,0,0,0,429,0.084,7.2,450,wild,medium,acceptable,0,0,0,0,0,450732820
594,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,cupido,Greater prairie chicken,365,183,23,0,13,1,0,11.5,0,908,0,5,0,unknown,medium,acceptable,0,0,0,0,0,437444445
595,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,pallidicinctus,Lesser prairie chicken,365,183,23,0,11,1,0,0,0,794.5,0,13.5,576,wild,small,acceptable,0,0,0,0,0,4.37E+11
596,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,phasianellus,Sharp-tailed grouse,180,180,23,0,12,1,0,12.8,0,908,0.064,7.5,0,unknown,medium,acceptable,0,0,0,0,0,4.37E+11
597,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,adamsii,Yellow-billed loon,1095,1095,0,0,2,0,0,0,0,5050,0,0,0,unknown,small,low,0,0,0,0,0,427445
598,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,arctica,Black-throated diver,1095,1095,29,0,1.74,2,0,72.33,0,2724,0,28,1,wild,medium,acceptable,0,0,0,0,0,1444445729
599,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,Great northern diver,1461,1461,28,0,2,1,0,93.9,0,3405,0,24.1,427,wild,medium,acceptable,0,0,0,0,0,4.27E+11
600,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,stellata,Red-throated diver,1095,1095,28,0,2,1,0,54.8,0,1816,0,24,553,unknown,medium,acceptable,0,0,0,0,0,4.44E+11
601,Animalia,Chordata,Aves,Gruiformes,Gruidae,Anthropoides,virgo,Demoiselle crane,730,730,28,0,2,0,0,0,0,2400,0.084,27,448,captivity,large,high,0,0,0,0,0,448732
602,Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,regulorum,Grey crowned crane,1095,1095,30,0,0,0,0,0,0,3372,0,27.2,986,captivity,large,acceptable,0,0,0,0,0,986
603,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,americana,Whooping crane,1460,1460,31,0,2,0,0,150,0,7500,0.072,40,445,captivity,medium,acceptable,0,0,0,0,0,3.16E+14
604,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,antigone,Sarus crane,0,0,32,0,0,0,0,0,0,8663,0,41.8,986,captivity,medium,acceptable,0,0,0,0,0,986
605,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,canadensis,Sandhill crane,1095,1095,29,0,2,1,0,114.2,0,3890,0.047,36.6,427,wild,medium,acceptable,0,0,0,0,0,6.14E+16
606,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,grus,Common crane,1825,1825,0,0,0,0,0,0,0,5500,0.054,43,444,wild,medium,acceptable,0,0,0,0,0,4.45E+11
607,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,japonensis,Red-crowned crane,1095,1095,31,0,2,0,0,0,0,8500,0.049,25.2,575,captivity,medium,acceptable,0,0,0,0,0,438575732
608,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,leucogeranus,Siberian crane,0,0,0,0,0,0,0,0,0,5931,0.074,36.2,575,captivity,medium,acceptable,0,0,0,0,0,575732820
